Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
IONICS,"University of Colorado, Boulder (CU-Boulder)",ACTIVE,,12/1/16,11/30/19,Storage,Anion Channel Membranes,,
IONICS,University of Delaware (UD),ACTIVE,,1/1/17,6/30/19,Storage,Hydroxide Exchange Membranes,,
IONICS,Washington University,ACTIVE,,1/1/17,12/31/19,Storage,Reinforced AEM Separators,,
IONICS,American Manufacturing,ALUMNI,For-profit,12/20/16,9/19/18,Storage,Flash Sintering System,Pivot,"Research, limited commercial apps"
IONICS,Pennsylvania State University (Penn State),ALUMNI,Non-profit,1/1/17,12/31/18,Storage,Cold Sintering Composite Structures,Pivot,"Research, not commercialized"
IONICS,Sila Nanotechnologies,ALUMNI,For-profit,12/1/16,5/31/18,Storage,Melt-Infiltration Solid Electrolyte,Persist,Not much out there publically about this
IONICS,Colorado School of Mines,EXCLUDE,,1/1/17,11/30/18,Transportation Storage,Hybrid Polyoxometalate Membranes,,
METALS,Materials & Electrochemical Research (MER),ACTIVE,,1/13/15,3/31/19,Manufacturing Efficiency,Advanced Electrowinning of Titanium,,
METALS,UHV Technologies,ACTIVE,,1/1/14,7/15/19,Manufacturing Efficiency,X-Ray Diagnostics for Scrap Metal Sorting,,
METALS,University of Utah,ACTIVE,Non-profit,2/18/14,6/30/19,Manufacturing Efficiency,Direct Titanium Production from Titanium Slag,,
METALS,Alcoa,ALUMNI,For-profit,3/31/14,7/20/18,Manufacturing Efficiency,Aluminum Electrolytic Cell with Heat Recovery,Pivot,
METALS,BlazeTech,ALUMNI,For-profit,1/1/14,3/31/15,Manufacturing Efficiency,Specialized Imaging System for Light Metal Sorting,Perish,"Nothing about recycling on their website, contact person no longer with company"
METALS,Case Western Reserve University,ALUMNI,Non-profit,1/1/14,6/30/16,Manufacturing Efficiency,Segmented Cell for Electrowinning Titanium,Perish,"Missed target, doesn't seem to be going anywhere"
METALS,Energy Research Company (ERCo),ALUMNI,For-profit,1/1/14,9/30/18,Manufacturing Efficiency,Integrated Minimill to Produce Aluminum from Scrap,Pivot,seems like they were already doing what they were working on
METALS,Gas Technology Institute (GTI),ALUMNI,Non-profit,1/1/14,3/31/15,Manufacturing Efficiency,Membrane Extraction for Aluminum Production,Perish,https://patents.google.com/patent/US9315914B2/en?q=aluminum&assignee=Gas+Technology+Institute&country=US&after=priority:20100101&language=ENGLISH
METALS,INFINIUM,ALUMNI,For-profit,12/12/13,12/10/16,Manufacturing Efficiency,Aluminum Production Using Zirconia Solid Electrolyte,Perish,"Don't seem to be doing anything with Aluminum, just rare earth elements"
METALS,Palo Alto Research Center (PARC),ALUMNI,For-profit,12/12/13,5/31/16,Manufacturing Efficiency,Electrochemical Probe for Rapid Scrap Metal Sorting,Perish,"Nothing recent, no licensee"
METALS,Phinix,ALUMNI,For-profit,12/3/13,3/1/15,Manufacturing Efficiency,Electrochemical Magnesium Extraction from Scrap,Perish,"Nothing updated, 1 patent app"
METALS,Research Triangle Institute (RTI),ALUMNI,Non-profit,2/6/14,3/6/17,Manufacturing Efficiency,High-Temperature Thermal Storage for Light Metal Production,Perish,"natural gas prices fell, which bottomed out metal production market, switched to glass in some international markets (maybe)"
METALS,SRI International,ALUMNI,Non-profit,12/10/13,4/30/15,Manufacturing Efficiency,Direct Production of Titanium Powder,Perish,can't find anything after 2015
METALS,"University of Colorado, Boulder (CU-Boulder)",ALUMNI,Non-profit,1/1/14,6/30/17,Manufacturing Efficiency,Solar/Electric Powered Magnesium Production,Pivot,Don't seem to be bothering with the solar stuff
METALS,University of Utah,ALUMNI,Non-profit,1/10/14,3/19/18,Manufacturing Efficiency,Electromagnetic Light Metal Sorting,Persist,"making progress, but still haven't reached specified targets"
METALS,Valparaiso University,ALUMNI,Non-profit,1/1/14,12/29/18,Manufacturing Efficiency,Solar/Electrolytic Production of Magnesium from Ore,Perish,"Didn't hit cost target, no recent work"
METALS,iMetalx Group,CANCELLED,For-profit,2/24/14,7/14/14,Manufacturing Efficiency,Advanced Electrowinning of Titanium,Perish,"Seems like everyone's quit, no updates beyond original soliciation info"
METALS,Pacific Northwest National Laboratory (PNNL),CANCELLED,Non-profit,1/1/14,6/30/16,Manufacturing Efficiency,Extracting Magnesium from Seawater,Perish,"Partner company folded, didn't meet targets"
METALS,Titanium Metals Corporation (TIMET),CANCELLED,For-profit,1/13/14,4/30/16,Manufacturing Efficiency,Electrochemical Cell for Advanced Titanium Production,Perish,"Partner company was bought, but parent company seems to have folded"
MONITOR,Bridger Photonics,ACTIVE,,6/15/15,4/14/19,Resource Efficiency,Mobile Methane Sensing System,,
MONITOR,Colorado State University (CSU),ACTIVE,,10/1/16,6/30/19,Resource Efficiency,MONITOR Field Test Site,,
MONITOR,Duke University,ACTIVE,,5/14/15,2/13/19,Resource Efficiency,Advanced Spectrometer for Methane Detection,,
